season,episode,speaker,Symptom,Test,Drug,Procedure,Intent,diagnosis_stage,Sarcasm,Emotion,Organ,correct_prediction,model_prediction,text,medical_entities,text_clean,intent_norm,emotion_norm,organ_norm,diagnosis_stage_norm,sarcasm_label,has_symptom,has_test,has_drug,has_procedure,entity_count,entity_types
1,1,Wilson,nöbet,,,,açıklama,hipotez,0,nötr,beyin,nörosistiserkozis,,29 yaşında bir kadın hasta; ilk nöbetini bir ay önce geçirmiş.,"[{""text"": ""nöbet"", ""type"": ""Symptom""}]",29 yaşında bir kadın hasta; ilk nöbetini bir ay önce geçirmiş.,açıklama,nötr,beyin,hipotez,not_sarcastic,True,False,False,False,1,Symptom:1
1,1,Wilson,afazi,,,,açıklama,hipotez,0,nötr,beyin,nörosistiserkozis,,"Konuşma yetisini kaybetmiş, bebek gibi anlamsız sesler çıkarıyor.","[{""text"": ""afazi"", ""type"": ""Symptom""}]","konuşma yetisini kaybetmiş, bebek gibi anlamsız sesler çıkarıyor.",açıklama,nötr,beyin,hipotez,not_sarcastic,True,False,False,False,1,Symptom:1
1,1,Wilson,zihinsel durum bozukluğu,,,,açıklama,hipotez,0,nötr,beyin,nörosistiserkozis,,Mental durumu giderek kötüleşiyor.,"[{""text"": ""zihinsel durum bozukluğu"", ""type"": ""Symptom""}]",mental durumu giderek kötüleşiyor.,açıklama,nötr,beyin,hipotez,not_sarcastic,True,False,False,False,1,Symptom:1
1,1,House,,,,,şaka,hipotez,1,alaycı,beyin,nörosistiserkozis,,Beyin tümörü dediler; ben olsam ben de o tanıyı sevmezdim. Ölecek demenin sıkıcı bir yolu.,"[{""text"": ""beyin tümörü"", ""type"": ""Disease""}]",beyin tümörü dediler; ben olsam ben de o tanıyı sevmezdim. ölecek demenin sıkıcı bir yolu.,şaka,alaycı,beyin,hipotez,sarcastic,False,False,False,False,1,Disease:1
1,1,Wilson,,,,,açıklama,hipotez,0,nötr,beyin,nörosistiserkozis,,Onun yaşında beyin tümörü olması pek olası değil.,"[{""text"": ""beyin tümörü"", ""type"": ""Disease""}]",onun yaşında beyin tümörü olması pek olası değil.,açıklama,nötr,beyin,hipotez,not_sarcastic,False,False,False,False,1,Disease:1
1,1,Wilson,,protein belirteçleri,,,açıklama,test,0,nötr,beyin,nörosistiserkozis,,En sık görülen üç beyin kanseri için protein belirteçleri negatif çıktı.,"[{""text"": ""protein belirteçleri"", ""type"": ""Test""}, {""text"": ""beyin kanseri"", ""type"": ""Disease""}]",en sık görülen üç beyin kanseri için protein belirteçleri negatif çıktı.,açıklama,nötr,beyin,test,not_sarcastic,False,True,False,False,2,Disease:1|Test:1
1,1,Wilson,,,,radyasyon tedavisi,açıklama,değerlendirme,0,nötr,beyin,nörosistiserkozis,,Radyasyon tedavisine de yanıt vermiyor.,"[{""text"": ""radyasyon tedavisi"", ""type"": ""Procedure""}]",radyasyon tedavisine de yanıt vermiyor.,açıklama,nötr,beyin,değerlendirme,not_sarcastic,False,False,False,True,1,Procedure:1
1,1,Foreman,lezyon,MR,,,açıklama,değerlendirme,0,nötr,beyin,nörosistiserkozis,,MR görüntüsünde bir lezyon var.,"[{""text"": ""MR"", ""type"": ""Test""}, {""text"": ""lezyon"", ""type"": ""Symptom""}]",mr görüntüsünde bir lezyon var.,açıklama,nötr,beyin,değerlendirme,not_sarcastic,True,True,False,False,2,Symptom:1|Test:1
1,1,House,,,,,hipotez,hipotez,0,nötr,beyin,nörosistiserkozis,,Bence bu bir tümör değil.,"[{""text"": ""tümör"", ""type"": ""Disease""}]",bence bu bir tümör değil.,hipotez,nötr,beyin,hipotez,not_sarcastic,False,False,False,False,1,Disease:1
1,1,House,,BT,,,soru,hipotez,0,nötr,beyin,nörosistiserkozis,,BT'de hiçbir şey yok. Tümör değilse olası tanılarımız neler?,"[{""text"": ""BT"", ""type"": ""Test""}, {""text"": ""tümör"", ""type"": ""Disease""}]",bt'de hiçbir şey yok. tümör değilse olası tanılarımız neler?,soru,nötr,beyin,hipotez,not_sarcastic,False,True,False,False,2,Disease:1|Test:1
