task,label,count
intent_norm,açıklama,3477
intent_norm,hipotez,912
intent_norm,soru,242
intent_norm,tanı,203
intent_norm,unknown,200
intent_norm,talimat,197
intent_norm,tedavi,176
intent_norm,değerlendirme,128
intent_norm,gözlem,119
intent_norm,öneri,92
intent_norm,test,91
intent_norm,teşhis,88
intent_norm,şaka,85
intent_norm,karar,63
intent_norm,itiraz,63
intent_norm,talep,57
intent_norm,uyarı,54
intent_norm,emir,51
intent_norm,durum değerlendirme,49
intent_norm,şikayet bildirimi,48
intent_norm,raporlama,44
intent_norm,prosedür açıklama,39
intent_norm,bilgi talebi,38
intent_norm,tanısal,33
intent_norm,reçete,32
intent_norm,sorgulama,29
intent_norm,soru sorma,28
intent_norm,tanı koymak,25
intent_norm,test talebi,25
intent_norm,tedavi önerisi,24
intent_norm,teşhis sorgusu,24
intent_norm,sonuç,23
intent_norm,durum bilgilendirmesi,22
intent_norm,acil,21
intent_norm,hipotez önerme,20
intent_norm,semptom bildirimi,18
intent_norm,yönlendirme,17
intent_norm,test isteği,16
intent_norm,sonuç_bildirimi,15
intent_norm,test sonucu bildirmek,12
intent_norm,test istemek,12
intent_norm,semptom_bildirimi,12
intent_norm,test sonucu bildirme,12
intent_norm,kesin_tanı,11
intent_norm,hipotez çürütme,11
intent_norm,ön tanı koymak,10
intent_norm,durum_bildirimi,10
intent_norm,tedavi_önerisi,9
intent_norm,işlem,9
intent_norm,şikayet,8
intent_norm,tanı_açıklama,8
intent_norm,hipotez_önerisi,8
intent_norm,akut,7
intent_norm,genel değerlendirme,6
intent_norm,yeni hipotez önerme,6
intent_norm,tedavi talimatı,6
intent_norm,acil müdahale,5
intent_norm,durum bildirimi,5
intent_norm,onay,5
intent_norm,özetleme,5
intent_norm,test talimatı,5
intent_norm,risk uyarısı,5
intent_norm,bilgi verme,4
intent_norm,tanı koyma,4
intent_norm,tedavi planı,4
intent_norm,prosedür,4
intent_norm,alternatif,4
intent_norm,final,4
intent_norm,yorum,4
intent_norm,test_isteği,4
intent_norm,ayırıcı tanı,4
intent_norm,semptom bildirme,4
intent_norm,test önerme,4
intent_norm,muayene,3
intent_norm,vaka sunumu,3
intent_norm,öykü,3
intent_norm,komplikasyon,3
intent_norm,kişisel,3
intent_norm,teşhis koyma,3
intent_norm,alternatif tanı önerme,3
intent_norm,durum güncellemesi,3
intent_norm,semptom açıklama,3
intent_norm,acil durum tespiti,3
intent_norm,kesin tanı,3
intent_norm,bulgu,2
intent_norm,durum değerlendirmesi,2
intent_norm,test sonucu,2
intent_norm,hikaye,2
intent_norm,teori,2
intent_norm,ikna,2
intent_norm,plan,2
intent_norm,geçmiş_bildirimi,2
intent_norm,prosedür_açıklama,2
intent_norm,analiz_bildirimi,2
intent_norm,risk_bildirimi,2
intent_norm,amaç,2
intent_norm,test istemi,2
intent_norm,konsültasyon,2
intent_norm,risk,2
intent_norm,sorgu,2
intent_norm,gözlem gözlem,2
intent_norm,ret,2
intent_norm,acil müdahale bildirimi,2
intent_norm,hipotez destekleme,2
intent_norm,semptom gözlemi,2
intent_norm,semptomları özetleme,2
intent_norm,alternatif açıklama,2
intent_norm,ikna etme,2
intent_norm,semptom inkarı,2
intent_norm,şüphe bildirme,2
intent_norm,empati,1
intent_norm,endişe,1
intent_norm,müdahale,1
intent_norm,hipotez sunma,1
intent_norm,tedavi planlama,1
intent_norm,teşhis ve tedavi planı,1
intent_norm,alternatif bulmak,1
intent_norm,tahmin,1
intent_norm,uyuşturucu elemek,1
intent_norm,susuzluk gidermek,1
intent_norm,uyuşturucu elendi,1
intent_norm,politika,1
intent_norm,klinik ziyaret,1
intent_norm,yan etki,1
intent_norm,deneysel,1
intent_norm,danışma,1
